fonte,registro_id,codigo_ibge,municipio,uf,orgao_razao_social,data_referencia,valor_global,objeto,eixo_id,subeixo_id,keywords_hit,estagio
PNCP,22681423000157-2-000100/2025,3126703,Francisco Sá,MG,MUNICIPIO DE FRANCISCO SA,2025-05-21,2129.5,CHAMADA PUBLICA PARA AQUISICAO DE GENEROS ALIMENTICIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA ATENDIMENTO AO PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR  PNAE EM ATENDIMENTO A SECRETARIA MUNICIPAL DE EDUCACAO DE FRANCISCO SAMG.,seguranca_alimentar,alimentacao_escolar,alimentacao escolar;pnae,contratado
PNCP,22681423000157-2-000100/2025,3126703,Francisco Sá,MG,MUNICIPIO DE FRANCISCO SA,2025-05-21,2129.5,CHAMADA PUBLICA PARA AQUISICAO DE GENEROS ALIMENTICIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA ATENDIMENTO AO PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR  PNAE EM ATENDIMENTO A SECRETARIA MUNICIPAL DE EDUCACAO DE FRANCISCO SAMG.,seguranca_alimentar,agricultura_familiar,agricultura familiar,contratado
PNCP,13825476000103-2-000105/2025,2928703,Santo Antônio de Jesus,BA,MUNICIPIO DE SANTO ANTONIO DE JESUS,2025-08-22,8750.0,"É objeto desta contratação pessoa física e/ou pessoa jurídica para FORNECIMENTO DE MUDAS DE CACAU, para atendimento ao PROGRAMA DE AQUISIÇÃO DE ALIMENTOS/PAA.",seguranca_alimentar,agricultura_familiar,programa de aquisicao de alimentos,contratado
PNCP,22681423000157-2-000101/2025,3126703,Francisco Sá,MG,MUNICIPIO DE FRANCISCO SA,2025-05-21,4720.9,CHAMADA PUBLICA PARA AQUISICAO DE GENEROS ALIMENTICIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA ATENDIMENTO AO PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR  PNAE EM ATENDIMENTO A SECRETARIA MUNICIPAL DE EDUCACAO DE FRANCISCO SAMG.,seguranca_alimentar,alimentacao_escolar,alimentacao escolar;pnae,contratado
PNCP,22681423000157-2-000101/2025,3126703,Francisco Sá,MG,MUNICIPIO DE FRANCISCO SA,2025-05-21,4720.9,CHAMADA PUBLICA PARA AQUISICAO DE GENEROS ALIMENTICIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA ATENDIMENTO AO PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR  PNAE EM ATENDIMENTO A SECRETARIA MUNICIPAL DE EDUCACAO DE FRANCISCO SAMG.,seguranca_alimentar,agricultura_familiar,agricultura familiar,contratado
PNCP,22681423000157-2-000102/2025,3126703,Francisco Sá,MG,MUNICIPIO DE FRANCISCO SA,2025-05-21,4283.2,CHAMADA PUBLICA PARA AQUISICAO DE GENEROS ALIMENTICIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA ATENDIMENTO AO PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR  PNAE EM ATENDIMENTO A SECRETARIA MUNICIPAL DE EDUCACAO DE FRANCISCO SAMG.,seguranca_alimentar,alimentacao_escolar,alimentacao escolar;pnae,contratado
PNCP,22681423000157-2-000102/2025,3126703,Francisco Sá,MG,MUNICIPIO DE FRANCISCO SA,2025-05-21,4283.2,CHAMADA PUBLICA PARA AQUISICAO DE GENEROS ALIMENTICIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA ATENDIMENTO AO PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR  PNAE EM ATENDIMENTO A SECRETARIA MUNICIPAL DE EDUCACAO DE FRANCISCO SAMG.,seguranca_alimentar,agricultura_familiar,agricultura familiar,contratado
PNCP,22681423000157-2-000103/2025,3126703,Francisco Sá,MG,MUNICIPIO DE FRANCISCO SA,2025-05-21,4883.5,CHAMADA PUBLICA PARA AQUISICAO DE GENEROS ALIMENTICIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA ATENDIMENTO AO PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR  PNAE EM ATENDIMENTO A SECRETARIA MUNICIPAL DE EDUCACAO DE FRANCISCO SAMG.,seguranca_alimentar,alimentacao_escolar,alimentacao escolar;pnae,contratado
PNCP,22681423000157-2-000103/2025,3126703,Francisco Sá,MG,MUNICIPIO DE FRANCISCO SA,2025-05-21,4883.5,CHAMADA PUBLICA PARA AQUISICAO DE GENEROS ALIMENTICIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA ATENDIMENTO AO PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR  PNAE EM ATENDIMENTO A SECRETARIA MUNICIPAL DE EDUCACAO DE FRANCISCO SAMG.,seguranca_alimentar,agricultura_familiar,agricultura familiar,contratado
PNCP,46634507000106-2-000225/2025,3545209,Salto,SP,MUNICIPIO DE SALTO,2025-08-28,8650.0,"Contratação de empresa especializada para elaboração de projeto, aprovação e acompanhamento até a ligação na concessionária CPFL, de entrada de energia em média tensão, em poste para Creche Laguna, a cargo da Secretaria da Educação.",primeira_infancia,creche_pre_escola,creche,contratado
